program	task_id	client	server	server_pay_account	skill	price	nonce	settlement_tx	balance_before	balance_after
a780003b07204fc4d7445b5d88bbd2db8de248f0f1e5ffdbcd75fd268576841e	192c7dcec965cd7bd3f5424f55e2715a	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	7o9PT8uEzF5TJLdF8zgo8vGAUZrx2xDEC8EscPGPEUM6	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	25	384625316611815159	4e3a3454b287460b4154949a4abc5b1ea9eacdf2f899f5dedc14eb5ea490ddb1	45	70
a780003b07204fc4d7445b5d88bbd2db8de248f0f1e5ffdbcd75fd268576841e	b9a7ca40117a12207dac1d00572fe20d	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	7o9PT8uEzF5TJLdF8zgo8vGAUZrx2xDEC8EscPGPEUM6	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	25	3330589396687260524	7cad4fbd78fa52167bcdd0180732f4c105dee3be4786eea96d712b5f7168f019	70	95
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	d31ded5afaec7dc843ba82f3480cecd5	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	25	762089006967726081	e691f593cf7c393d0eee21054a05bb1584abc78d81308efd2cbf60d326631047	45	70
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	13191d7c5674794b57c75c13214dea97	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	25	3580982939022235083	aef1414608761c70545a8eb9f20a0301e14c0d316a6318ab0e38bc5b8bcb70b8	70	95
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	e5ac53aece246948283683e9f28f734c	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	5	1006664110737407541	16df5055d55a6c240c5e6774202c0500fa12e59fe502f6338a36b20ea1ff9dde	95	100
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	7ada8ef306b6565549ed150a60afd9fd	GpRdooEWJjX4JmRyT2n5KzMnDKtCM2HrvZ8iwMZpe5FS	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	5Sa13NyNFsTqAj3AtdoQ7kzC6ZZJJN57AYqhNddHtjnZ	storage.upload	5	1378145300778928127	ffafd2b0f4ff9c1ca411e8da2dba06052c25790fc5c83e7351fbdee4721bb2da	100	105
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	ts012502	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	BzYks91aGenEmpDoowdi3UUUjjyww1eMPMzibhH2wLnu	storage.upload	1	none	e2c59e8abc8c341e08021c6814db1fd151e81db9a84ed815e333d16bc61ef3be	0	1
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	ts014702	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	BzYks91aGenEmpDoowdi3UUUjjyww1eMPMzibhH2wLnu	storage.upload	1	none	23046b5460304f8c0e644535d95361e477ffd5db5da9468739e06bbece6ca3fc	1	2
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	ts025338	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	BzYks91aGenEmpDoowdi3UUUjjyww1eMPMzibhH2wLnu	storage.upload	1	none	31b185e279738ca793382e90065ad15a9f63fd992820172c2419fdc519942531	2	3
697746f52ff24019dbde4861c3649f49426904617840139a5405aa24cb5370bf	ts031504	9XpkkvosC14TKTNZAoUdKXJwCheJ3dF8u3Xoojfv1FaE	A7UBoMbSoQXNaDTiSjbr28KjedNrvBvroiamrc39JtMu	BzYks91aGenEmpDoowdi3UUUjjyww1eMPMzibhH2wLnu	storage.upload	1	none	ed8c351412409c81723ea7b90e2d9cdcb0841a33234894bfff8269af374b8cb3	3	4
